"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Fine Wine (Bottle)","PHB","none","food and drink","","","","10 gp",""
"Fishing Tackle","PHB","none","adventuring gear","","","4 lb.","1 gp","This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting."
"Flail","PHB","none","martial weapon, melee weapon","","1d8, bludgeoning","2 lb.","10 gp",""
"Flask","PHB","none","adventuring gear","","","1 lb.","2 cp","A flask holds 1 pint of liquid."
"Flour","PHB","none","trade good","","","1 lb.","2 cp",""
"Flute","PHB","none","instrument","","","1 lb.","2 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Forgery Kit","PHB","none","tools","","","5 lb.","15 gp","This small box contains a variety of papers and parchments, pens and inks, seals and sealing wax, gold and silver leaf, and other supplies necessary to create convincing forgeries of physical documents. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a physical forgery of a document.A forgery kit is designed to duplicate documents and to make it easier to copy a person's seal or signature. Components. A forgery kit includes several different types of ink, a variety of parchments and papers, several quills, seals and sealing wax, gold and silver leaf, and small tools to sculpt melted wax to mimic a seal. Arcana. A forgery kit can be used in conjunction with the Arcana skill to determine if a magic item is real or fake. Deception. A well-crafted forgery, such as papers proclaiming you to be a noble or a writ that grants you safe passage, can lend credence to a lie. History. A forgery kit combined with your knowledge of history improves your ability to create fake historical documents or to tell if an old document is authentic. Investigation. When you examine objects, proficiency with a forgery kit is useful for determining how an object was made and whether it is genuine. Other Tools. Knowledge of other tools makes your forgeries that much more believable. For example, you could combine proficiency with a forgery kit and proficiency with cartographer's tools to make a fake map. Quick Fake. As part of a short rest, you can produce a forged document no more than one page in length. As part of a long rest, you can produce a document that is up to four pages long. Your Intelligence check using a forgery kit determines the DC for someone else's Intelligence (Investigation) check to spot the fake.Forgery KitActivityDCMimic handwriting15Duplicate a wax seal20See the Tool Proficiencies entry for more information."
"Gaming Set","PHB","none","gaming set","","","","","Multiple variations of this item exist, as listed below:Dice SetDragonchess SetPlaying Card SetThree-Dragon Ante SetSee the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
"Ginger","PHB","none","trade good","","","1 lb.","1 gp",""
"Glaive","PHB","none","martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","20 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Glass Bottle","PHB","none","adventuring gear","","","2 lb.","2 gp","A bottle holds 1½ pints of liquid."
"Glassblower's Tools","PHB","none","artisan's tools","","","5 lb.","30 gp","Someone who is proficient with glassblower's tools has not only the ability to shape glass, but also specialized knowledge of the methods used to produce glass objects. Components. The tools include a blowpipe, a small marver, blocks, and tweezers. You need a source of heat to work glass. Arcana, History. Your knowledge of glassmaking techniques aids you when you examine glass objects, such as potion bottles or glass items found in a treasure hoard. For instance, you can study how a glass potion bottle has been changed by its contents to help determine a potion's effects. (A potion might leave behind a residue, deform the glass, or stain it.) Investigation. When you study an area, your knowledge can aid you if the clues include broken glass or glass objects. Identify Weakness. With 1 minute of study, you can identify the weak points in a glass object. Any damage dealt to the object by striking a weak spot is doubled.Glassblower's ToolsActivityDCIdentify source of glass10Determine what a glass object once held20See the Tool Proficiencies entry for more information."
"Goat","PHB","none","trade good","","","","1 gp",""
"Gold","PHB","none","trade good","","","1 lb.","50 gp",""
"Gold (gp)","PHB","none","treasure","","","0.32 oz.","1 gp","Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
"Grappling Hook","PHB","none","adventuring gear","","","4 lb.","2 gp",""
"Greataxe","PHB","none","martial weapon, melee weapon","","1d12, slashing, - heavy, two-handed","7 lb.","30 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Greatclub","PHB","none","simple weapon, melee weapon","","1d8, bludgeoning, - two-handed","10 lb.","2 sp","Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Greatsword","PHB","none","martial weapon, melee weapon","","2d6, slashing, - heavy, two-handed","6 lb.","50 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Halberd","PHB","none","martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","20 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Half Plate Armor","PHB","none","medium armor","","AC 15 + Dex (max 2)","40 lb.","750 gp","Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.The wearer has disadvantage on Dexterity (Stealth) checks."
"Half Plate Barding","PHB","none","tack and harness","","AC 15","80 lb.","3000 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps."
"Hammer","PHB","none","adventuring gear","","","3 lb.","1 gp",""
"Hand Crossbow","PHB","none","martial weapon, ranged weapon","","1d6, piercing, - ammunition (30/120 ft.), light, loading","3 lb.","75 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
"Handaxe","PHB","none","simple weapon, melee weapon","","1d6, slashing, - light, thrown (20/60 ft.)","2 lb.","5 gp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Healer's Kit","PHB","none","adventuring gear","","","3 lb.","5 gp","This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check."
"Heavy Crossbow","PHB","none","martial weapon, ranged weapon","","1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed","18 lb.","50 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Hempen Rope (50 feet)","PHB","none","adventuring gear","","","10 lb.","1 gp","Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check."
"Herbalism Kit","PHB","none","tools","","","3 lb.","5 gp","This kit contains a variety of instruments such as clippers, mortar and pestle, and pouches and vials used by herbalists to create remedies and potions. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to identify or apply herbs. Also, proficiency with this kit is required to create antitoxin and potions of healing.Proficiency with an herbalism kit allows you to identify plants and safely collect their useful elements. Components. An herbalism kit includes pouches to store herbs, clippers and leather gloves for collecting plants, a mortar and pestle, and several glass jars. Arcana. Your knowledge of the nature and uses of herbs can add insight to your magical studies that deal with plants and your attempts to identify potions. Investigation. When you inspect an area overgrown with plants, your proficiency can help you pick out details and clues that others might miss. Medicine. Your mastery of herbalism improves your ability to treat illnesses and wounds by augmenting your methods of care with medicinal plants. Nature and Survival. When you travel in the wild, your skill in herbalism makes it easier to identify plants and spot sources of food that others might overlook. Identify Plants. You can identify most plants with a quick inspection of their appearance and smell.Herbalism KitActivityDCFind plants15Identify poison20See the Tool Proficiencies entry for more information."
"Hide Armor","PHB","none","medium armor","","AC 12 + Dex (max 2)","12 lb.","10 gp","This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
"Hide Barding","PHB","none","tack and harness","","AC 12","24 lb.","40 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
"Holy Symbol","PHB","none","spellcasting focus","","","","","A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.Multiple variations of this item exist, as listed below:AmuletEmblemReliquary"
"Holy Water (flask)","PHB","none","adventuring gear","","","1 lb.","25 gp","As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.A cleric or paladin may create holy water by performing a special ritual. The ritual takes 1 hour to perform, uses 25 gp worth of powdered silver, and requires the caster to expend a 1st-level spell slot."
"Hooded Lantern","PHB","none","adventuring gear","","","2 lb.","5 gp","A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius."
"Horn","PHB","none","instrument","","","2 lb.","3 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Hourglass","PHB","none","adventuring gear","","","1 lb.","25 gp",""
"Hunk of Cheese","PHB","none","food and drink","","","","1 sp",""
"Hunting Trap","PHB","none","adventuring gear","","","25 lb.","5 gp","When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature."
"Ink (1-ounce bottle)","PHB","none","adventuring gear","","","","10 gp","Ink (1-ounce bottle)"
"Ink Pen","PHB","none","adventuring gear","","","","2 cp",""
"Iron","PHB","none","trade good","","","1 lb.","1 sp",""
"Iron Pot","PHB","none","adventuring gear","","","10 lb.","2 gp","An iron pot holds 1 gallon of liquid."
"Iron Spike","PHB","none","adventuring gear","","","½ lb.","1 sp",""
"Iron Spikes (10)","PHB","none","adventuring gear","","","5 lb.","1 gp",""
"Javelin","PHB","none","simple weapon, melee weapon","","1d6, piercing, - thrown (30/120 ft.)","2 lb.","5 sp","Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Jeweler's Tools","PHB","none","artisan's tools","","","2 lb.","25 gp","Training with jeweler's tools includes the basic techniques needed to beautify gems. It also gives you expertise in identifying precious stones. Components. Jeweler's tools consist of a small saw and hammer, files, pliers, and tweezers. Arcana. Proficiency with jeweler's tools grants you knowledge about the reputed mystical uses of gems. This insight proves handy when you make Arcana checks related to gems or gem-encrusted items. Investigation. When you inspect jeweled objects, your proficiency with jeweler's tools aids you in picking out clues they might hold. Identify Gems. You can identify gems and determine their value at a glance.Jeweler's ToolsActivityDCModify a gem's appearance15Determine a gem's history20See the Tool Proficiencies entry for more information."
"Jug","PHB","none","adventuring gear","","","4 lb.","2 cp","A jug holds 1 gallon of liquid."
"Ladder (10-foot)","PHB","none","adventuring gear","","","25 lb.","1 sp","Ladder (10-foot)"
"Lamp","PHB","none","adventuring gear","","","1 lb.","5 sp","A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
"Lance","PHB","none","martial weapon, melee weapon","","1d12, piercing, - reach, special","6 lb.","10 gp","Special. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
"Leather Armor","PHB","none","light armor","","AC 11 + Dex","10 lb.","10 gp","The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials."
"Leather Barding","PHB","none","tack and harness","","AC 11","20 lb.","40 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials."
"Leatherworker's Tools","PHB","none","artisan's tools","","","5 lb.","5 gp","Knowledge of leatherworking extends to lore concerning animal hides and their properties. It also confers knowledge of leather armor and similar goods. Components. Leatherworker's tools include a knife, a small mallet, an edger, a hole punch, thread, and leather scraps. Arcana. Your expertise in working with leather grants you added insight when you inspect magic items crafted from leather, such as boots and some cloaks. Investigation. You gain added insight when studying leather items or clues related to them, as you draw on your knowledge of leather to pick out details that others would overlook. Identify Hides. When looking at a hide or a leather item, you can determine the source of the leather and any special techniques used to treat it. For example, you can spot the difference between leather crafted using dwarven methods and leather crafted using halfling methods.Leatherworker's ToolsActivityDCModify a leather item's appearance10Determine a leather item's history20See the Tool Proficiencies entry for more information."
"Light Crossbow","PHB","none","simple weapon, ranged weapon","","1d8, piercing, - ammunition (80/320 ft.), loading, two-handed","5 lb.","25 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Light Hammer","PHB","none","simple weapon, melee weapon","","1d4, bludgeoning, - light, thrown (20/60 ft.)","2 lb.","2 gp","Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Linen (1 sq. yd.)","PHB","none","trade good","","","","5 gp",""
"Loaf of Bread","PHB","none","food and drink","","","","2 cp",""
"Lock","PHB","none","adventuring gear","","","1 lb.","10 gp","A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your DM may decide that better locks are available for higher prices."
"Longbow","PHB","none","martial weapon, ranged weapon","","1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed","2 lb.","50 gp","Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Longsword","PHB","none","martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","3 lb.","15 gp","Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Lute","PHB","none","instrument","","","2 lb.","35 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Lyre","PHB","none","instrument","","","2 lb.","30 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Mace","PHB","none","simple weapon, melee weapon","","1d6, bludgeoning","4 lb.","5 gp",""
"Magnifying Glass","PHB","none","adventuring gear","","","","100 gp","This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed."
"Manacles","PHB","none","adventuring gear","","","6 lb.","2 gp","These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points."
"Map or Scroll Case","PHB","none","adventuring gear","","","1 lb.","1 gp","This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment."
"Mason's Tools","PHB","none","artisan's tools","","","8 lb.","10 gp","Mason's tools allow you to craft stone structures, including walls and buildings crafted from brick. Components. Mason's tools consist of a trowel, a hammer, a chisel, brushes, and a square. History. Your expertise aids you in identifying a stone building's date of construction and purpose, along with insight into who might have built it. Investigation. You gain additional insight when inspecting areas within stone structures. Perception. You can spot irregularities in stone walls or floors, making it easier to find trap doors and secret passages. Demolition. Your knowledge of masonry allows you to spot weak points in brick walls. You deal double damage to such structures with your weapon attacks.Mason's ToolsActivityDCChisel a small hole in a stone wall10Find a weak point in a stone wall15See the Tool Proficiencies entry for more information."
"Mastiff","PHB","none","mount","","Speed: 40, Carrying Capacity: 195 lb.","","25 gp",""
"Maul","PHB","none","martial weapon, melee weapon","","2d6, bludgeoning, - heavy, two-handed","10 lb.","10 gp","Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Merchant's Scale","PHB","none","adventuring gear","","","3 lb.","5 gp","A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth."
"Mess Kit","PHB","none","adventuring gear","","","1 lb.","2 sp","This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl."
"Military Saddle","PHB","none","tack and harness","","","30 lb.","20 gp","A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted."
"Miner's Pick","PHB","none","adventuring gear","","","10 lb.","2 gp",""
"Morningstar","PHB","none","martial weapon, melee weapon","","1d8, piercing","4 lb.","15 gp",""
"Mule","PHB","none","mount","","Speed: 40, Carrying Capacity: 420 lb.","","8 gp",""
"Musical Instrument","PHB","none","instrument","","","","","Multiple variations of this item exist, as listed below:BagpipesDrumDulcimerFluteHornLuteLyrePan FluteShawmViolSee the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Navigator's Tools","PHB","none","tools","","","2 lb.","25 gp","This set of instruments is used for navigation at sea. Proficiency with navigator's tools lets you chart a ship's course and follow navigation charts. In addition, these tools allow you to add your proficiency bonus to any ability check you make to avoid getting lost at sea.Proficiency with navigator's tools helps you determine a true course based on observing the stars. It also grants you insight into charts and maps while developing your sense of direction. Components. Navigator's tools include a sextant, a compass, calipers, a ruler, parchment, ink, and a quill. Survival. Knowledge of navigator's tools helps you avoid becoming lost and also grants you insight into the most likely location for roads and settlements. Sighting. By taking careful measurements, you can determine your position on a nautical chart and the time of day.Navigator's ToolsActivityDCPlot a course10Discover your position on a nautical chart15See the Tool Proficiencies entry for more information."
"Net","PHB","none","martial weapon, ranged weapon","","special, thrown (5/15 ft.)","3 lb.","1 gp","Special. A Large or smaller creature hit by a net is restrained until it is freed. A net has no effect on creatures that are formless, or creatures that are Huge or larger. A creature can use its action to make a DC 10 Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net. When you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Oil (flask)","PHB","none","adventuring gear","","","1 lb.","1 sp","Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn."
"Orb","PHB","none","spellcasting focus","","","3 lb.","20 gp","An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
"Ox","PHB","none","trade good","","","","15 gp",""
"Pack Saddle","PHB","none","tack and harness","","","15 lb.","5 gp",""
"Padded Armor","PHB","none","light armor","","AC 11 + Dex","8 lb.","5 gp","Padded armor consists of quilted layers of cloth and batting.The wearer has disadvantage on Dexterity (Stealth) checks."
"Padded Barding","PHB","none","tack and harness","","AC 11","16 lb.","20 gp","Barding is armor designed to protect an animal's head, neck, chest, and body. Any type of armor shown on the Armor table in this chapter can be purchased as barding. The cost is four times the equivalent armor made for humanoids, and it weighs twice as much.Padded armor consists of quilted layers of cloth and batting."
